kingdom	phylum	class	order	family	genus
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Sphingomonadales	family_Sphingomonadaceae	genus_Sphingopyxis
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_Caulobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Janthinobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_Bosea
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Cellulomonadaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_Afipia
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Shinella
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Hyphomicrobiaceae	genus_Devosia
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Phyllobacteriaceae	genus_Aminobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Ensifer
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Micrococcaceae	genus_Pseudarthrobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Dyella
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Pseudorhodoferax
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Rhizobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Pseudoduganella
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_Phenylobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Rhizobiaceae	genus_Neorhizobium
kingdom_unknown	phylum_unknown	class_unknown	order_unknown	family_unknown	genus_unknown
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Acidovorax
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Comamonadaceae	genus_Polaromonas
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Duganella
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Phyllobacteriaceae	genus_Phyllobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Caulobacterales	family_Caulobacteraceae	genus_Asticcacaulis
kingdom_Bacteria	phylum_Proteobacteria	class_Alphaproteobacteria	order_Rhizobiales	family_Bradyrhizobiaceae	genus_Nitrobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Oxalobacteraceae	genus_Noviherbaspirillum
kingdom_Bacteria	phylum_Proteobacteria	class_Betaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Cupriavidus
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Lysobacter
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Cupriavidus
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Xanthomonadales	family_Xanthomonadaceae	genus_Stenotrophomonas
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Aeromonadales	family_Aeromonadaceae	genus_Aeromonas
kingdom_Bacteria	phylum_Actinobacteriota	class_Actinobacteria	order_Actinomycetales	family_Micrococcaceae	genus_Micrococcus
kingdom_Bacteria	phylum_Actinobacteriota	class_Actinobacteria	order_Actinomycetales	family_Microbacteriaceae	genus_Microbacterium
kingdom_Bacteria	phylum_Bacteroidota	class_Bacteroidia	order_Flavobacteriales	family_Weeksellaceae	genus_Chryseobacterium
kingdom_Bacteria	phylum_Proteobacteria	class_Gammaproteobacteria	order_Burkholderiales	family_Burkholderiaceae	genus_Variovorax
kingdom_Bacteria	phylum_Proteobacteria	class_unknown	order_unknown	family_unknown	genus_unknown
kingdom_Bacteria	phylum_Actinobacteria	class_Actinobacteria	order_Actinomycetales	family_Micrococcaceae	genus_Micrococcus
kingdom_Bacteria	phylum_Firmicutes	class_Bacilli	order_Bacillales	family_Bacillaceae	genus_Falsibacillus
kingdom_medium	phylum_background	class_background	order_background	family_background	genus_background
kingdom_blank	phylum_background	class_blackground	order_background	family_background	genus_background
